lost_connection: 1.0 | distance_from_remote_control: 4559.0 | battery_level: 20.0 | risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 3.0 | battery_level: 20.0 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4559.0],slot:distance_from_remote_control,values: [4559.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage and Lost Connection! The drone has a damaged frame and low battery. It's flying at an altitude of 3m. The drone is 4559m away from the remote control.      Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | altitude: 1.0 | battery_level: 10.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | altitude: 5.0 | battery_level: 20.0 | normal_frame: 0.0 | wind_speed: 21.0 | battery_level: 20.0 | object_distance: 0.5 | object_inpath:true | object_distance: 0.5   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [21.0],slot:wind_speed,values: [21.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 5m in strong wind.     Risk of physical damage! There's a sailboat in the drone's flight path at a distance of .5m. 
risk_of_physical_damage: warning | object_distance: 2 | object_name: ferris wheel ride   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [ferris wheel ride],slot:object_name,values: [ferris wheel ride] || Risk of physical damage! There's a ferris wheel ride only 2m away. 
risk_of_physical_damage: warning | object_distance: 2 | altitude: 1.0 | battery_level: 40.0 | normal_frame: False | object_inpath:true | object_distance: 8 | object_name: fence   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [fence],slot:object_name,values: [fence]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a house in the drone's flight path at a distance of 8m. There's also a fence only 2m away. 
risk_of_physical_damage: informative | object_distance: 1 | object_name: tree 1   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1] || Risk of physical damage! There's a tree only 1m away. 
risk_of_physical_damage: advisory | object_distance: 1 | pilot_experienced: False | object_distance: 1 | object_distance: 1 | object_moving, values = true | object_name: Bird1   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1] || Risk of physical damage! There's a moving bird only 1m away. There's another moving bird only 1.5m away. There's another moving bird only 2m away. 
risk_of_physical_damage: warning | object_distance: 2 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a tree only 2m away. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: False | object_distance: 1 | normal_frame: False | object_name: pillar   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [pillar],slot:object_name,values: [pillar]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a pillar only 1m away. 
risk_of_physical_damage: informative | altitude: 2.0 | battery_level: 20.0   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 2m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 2.0 | battery_level: 30.0 | normal_frame: False | object_inpath:true | object_distance: 3 | object_name: industrial water tank   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [industrial water tank],slot:object_name,values: [industrial water tank]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m.     Risk of physical damage! There's an industrial water tank in the drone's flight path at a distance of 5m. There's also a drone in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: informative | object_distance: 1 | object_name: tree 1   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1] || Risk of physical damage! There's a tree only 1m away. 
risk_of_physical_damage: warning | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1] || Risk of physical damage! There's a tree only 2m away. 
risk_of_physical_damage: warning | altitude: 1.0 | battery_level: 10.0 | normal_frame: 0.0 | object_distance: 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]|| Risk of physical damage! The drone has a damaged frame and an empty battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree only 2m away. 
lost_connection: 1.0 | distance_from_remote_control: 4050.0 | battery_level: 20.0 | risk_of_physical_damage: advisory | object_inpath:true | object_distance: 6 | object_name: tree 1   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4050.0],slot:distance_from_remote_control,values: [4050.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [6],slot:object_distance,values: [6]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1] || Risk of physical damage! There's a tree in the drone's flight path at a distance of 6m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 5.0 | battery_level: 10.0 | normal_frame: 0.0 | temperature: 7.0 | battery_level: 10.0 | object_name: fallen tree   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [7.0],slot:temperature,values: [7.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [fallen tree],slot:object_name,values: [fallen tree]|| Risk of physical damage! The drone has a damaged frame and empty battery. It's flying at an altitude of 5m in a low-temperature setting.     Risk of physical damage! There's a fallen tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | indoor: 1.0 | object_name: wall 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [1.0],slot:indoor,values: [1.0]| act:INFORM,canonical_values: [wall 1],slot:object_name,values: [wall 1]|| Risk of physical damage! The drone is flying indoors in a dark setting.     There's a wall in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 5 | object_name: tree 1   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: informative | altitude: 1.0 | battery_level: 20.0 | object_inpath:true | object_distance: 3 | object_name: tree 4   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [tree 4],slot:object_name,values: [tree 4]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | normal_frame: 0.0 | object_inpath:true | object_distance: 5   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5] || Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_internal_damage,: 1.0 | weather: gloomy | waterproof_drone: False | risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: False | object_distance: 0.5 | object_distance: 0.5 | object_moving, values = true | object_distance: 0.5 | low_visibility: 1.0 | object_inpath:true | object_distance: 0.5 | going_backwards: True | indoor: True | altitude: 1.0 | battery_level: 30.0 | normal_frame: False | object_name: toy car | object_name: tyre package on shelf   |   act:INFORM,canonical_values: [1.0],slot:risk_of_internal_damage,values: [1.0]| act:INFORM,canonical_values: [gloomy],slot:weather,values: [gloomy]| act:INFORM,canonical_values: [False],slot:waterproof_drone,values: [False]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [1.0],slot:low_visibility,values: [1.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [True],slot:going_backwards,values: [True]| act:INFORM,canonical_values: [True],slot:indoor,values: [True]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [toy car],slot:object_name,values: [toy car]| act:INFORM,canonical_values: [tyre package on shelf],slot:object_name,values: [tyre package on shelf]|| Risk of physical and internal damage! The drone has a damaged frame and low battery. It's flying indoors and backwards. It's flying at an altitude of 1m in a low-visibility setting. The weather is overcast and the drone is not waterproof.     Risk of physical damage! There's a moving toy car in the drone's flight path at a distance of .5m. There's also a package on the shelf only .5m away. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1 | normal_frame: 0.0 | object_name: sandy beach   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [sandy beach],slot:object_name,values: [sandy beach]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a sandy beach only 1m away. 
lost_connection: 1.0 | distance_from_remote_control: 4195.0 | battery_level: 30.0 | risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 5.0 | battery_level: 30.0 | temperature: 5.0 | battery_level: 30.0 | object_name: industrial water tank    |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4195.0],slot:distance_from_remote_control,values: [4195.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [5.0],slot:temperature,values: [5.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [industrial water tank:],slot:object_name,values: [industrial water tank:]|| Risk of physical damage and lost connection! The drone has low battery. It's flying at an altitude of 5m in a low-temperature setting. The drone is 4195m away from the remote control.     Risk of physical damage! There's an industrial water tank in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | altitude: 7.0 | battery_level: 0.0 | object_distance: 1 | object_inpath:true | object_distance: 1 | object_name: sailboat   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [7.0],slot:altitude,values: [7.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [sailboat],slot:object_name,values: [sailboat]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 7m.     Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 1m. 
risk_of_physical_damage: warning | altitude: 1.0 | battery_level: 30.0 | normal_frame: False | wind_speed: 18.0 | battery_level: 30.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [18.0],slot:wind_speed,values: [18.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m in strong wind. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 8 | object_name: tree 2   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [tree 2],slot:object_name,values: [tree 2] || Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | object_name: fallen tree   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [fallen tree],slot:object_name,values: [fallen tree] || Risk of physical damage! There's a fallen tree in the drone's flight path at a distance of 5m. 
risk_of_internal_damage,: True | weather: gloomy | waterproof_drone: False | risk_of_physical_damage: advisory | object_distance: 1 | pilot_experienced: False | object_distance: 1 | object_distance: 1 | object_moving, values = true | object_name: Bird1   |   act:INFORM,canonical_values: [True],slot:risk_of_internal_damage,values: [True]| act:INFORM,canonical_values: [gloomy],slot:weather,values: [gloomy]| act:INFORM,canonical_values: [False],slot:waterproof_drone,values: [False]| act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1]|| Risk of internal damage! The weather is overcast and the drone is not waterproof.     Risk of physical damage! There's a moving bird only 1m away. There's another moving bird only 2m away. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m.
risk_of_physical_damage: informative | object_inpath:true | object_distance: 5 | object_name: wall 1 inside building   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [wall 1 inside building],slot:object_name,values: [wall 1 inside building] || Risk of Physical Damage! There is a wall in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | normal_frame: 0.0 | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a fence only 1m away. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | normal_frame: 0.0 | object_name: sailboat   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [sailboat],slot:object_name,values: [sailboat]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 12.0 | battery_level: 0.0 | normal_frame: 0.0 | object_name: tube   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [12.0],slot:altitude,values: [12.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tube],slot:object_name,values: [tube]|| Risk of physical damage! The drone has a damaged frame and empty battery. It's flying at an altitude of 12m.     Risk of physical damage! There's a tube in the drone's flight path at a distance of 5m. 
risk_of_internal_damage,: True | weather: gloomy | waterproof_drone: False | risk_of_physical_damage: informative | going_backwards: True   |   act:INFORM,canonical_values: [True],slot:risk_of_internal_damage,values: [True]| act:INFORM,canonical_values: [gloomy],slot:weather,values: [gloomy]| act:INFORM,canonical_values: [False],slot:waterproof_drone,values: [False]| act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [True],slot:going_backwards,values: [True]|| Risk of physical and internal damage! The drone is flying backwards. The weather is overcast and the drone is not waterproof. 
risk_of_physical_damage: advisory | object_inpath:true | object_distance: 3 | altitude: 8.0 | battery_level: 20.0 | object_name: tree 1   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [8.0],slot:altitude,values: [8.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage and lost connection! The drone has low battery. It's flying at an altitude of 8m. The drone is 4637m away from the remote control.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 8 | object_name: tree 1   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1] || Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | indoor: 1.0 | normal_frame: 0.0 | object_name: hause   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [1.0],slot:indoor,values: [1.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [hause],slot:object_name,values: [hause]|| Risk of physical damage! The drone has a damaged frame. It's also flying indoors in a dark setting.     Risk of physical damage! There's a building in the drone's flight path at a distance of 8m! 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 5   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5] || Risk of physical damage! There are stairs in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | altitude: 20.0 | battery_level: 10.0 | object_distance: 1.5 | pilot_experienced: 0.0 | object_distance: 1.5 | object_name: industrial water tank 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [20.0],slot:altitude,values: [20.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [industrial water tank 1],slot:object_name,values: [industrial water tank 1]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 20m.     Risk of physical damage! There's an industrial water tank only 1.5m away. 
risk_of_physical_damage: warning | object_distance: 1 | altitude: 5.0 | battery_level: 0.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a tree only 1m away. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | altitude: 5.0 | battery_level: 0.0 | temperature: 6.0 | battery_level: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [6.0],slot:temperature,values: [6.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 5m in a low-temperature setting.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | normal_frame: 0.0 | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a building in the drone's flight path at a distance of 1m. 
