data,utterance
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = informative | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=object_name,description=Name of the object, values = tree 1{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""informative""], ""slot"": ""risk_of_physical_damage"", ""values"": [""informative""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""tree 1""], ""slot"": ""object_name"", ""values"": [""tree 1""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}", Risk of physical damage! There's a tree only 1m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = advisory | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=pilot_experienced,description=Pilot is experienced or not, values = False | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=object_distance,description=Distance of object, values = 1 | inform,object_moving, values = true | inform,name=object_name,description=Name of the object, values = Bird1{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""advisory""], ""slot"": ""risk_of_physical_damage"", ""values"": [""advisory""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""False""], ""slot"": ""pilot_experienced"", ""values"": [""False""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_moving"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""Bird1""], ""slot"": ""object_name"", ""values"": [""Bird1""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}", Risk of physical damage! There's a moving bird only 1m away. There's another moving bird only 1.5m away. There's another moving bird only 2m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_distance,description=Distance of object, values = 2 | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = 0.0 | inform,name=object_name,description=Name of the object, values = tree 1{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""2""], ""slot"": ""object_distance"", ""values"": [""2""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.0""], ""slot"": ""normal_frame"", ""values"": [""0.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""tree 1""], ""slot"": ""object_name"", ""values"": [""tree 1""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a tree only 2m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=pilot_experienced,description=Pilot is experienced or not, values = False | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = False | inform,name=object_name,description=Name of the object, values = pillar{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""False""], ""slot"": ""pilot_experienced"", ""values"": [""False""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""False""], ""slot"": ""normal_frame"", ""values"": [""False""]}, {""act"": ""INFORM"", ""canonical_values"": [""pillar""], ""slot"": ""object_name"", ""values"": [""pillar""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a pillar only 1m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = informative | inform,name=altitude,description=Flying altitude, values = 2.0 | inform,name=battery_level,description=Battery level, values = 20.0{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""informative""], ""slot"": ""risk_of_physical_damage"", ""values"": [""informative""]}, {""act"": ""INFORM"", ""canonical_values"": [""2.0""], ""slot"": ""altitude"", ""values"": [""2.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""20.0""], ""slot"": ""battery_level"", ""values"": [""20.0""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has low battery. It's flying at an altitude of 2m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 5 | inform,name=altitude,description=Flying altitude, values = 2.0 | inform,name=battery_level,description=Battery level, values = 30.0 | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = False | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 3 | inform,name=object_name,description=Name of the object, values = industrial water tank{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""5""], ""slot"": ""object_distance"", ""values"": [""5""]}, {""act"": ""INFORM"", ""canonical_values"": [""2.0""], ""slot"": ""altitude"", ""values"": [""2.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""30.0""], ""slot"": ""battery_level"", ""values"": [""30.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""False""], ""slot"": ""normal_frame"", ""values"": [""False""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""3""], ""slot"": ""object_distance"", ""values"": [""3""]}, {""act"": ""INFORM"", ""canonical_values"": [""industrial water tank""], ""slot"": ""object_name"", ""values"": [""industrial water tank""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m.     Risk of physical damage! There's an industrial water tank in the drone's flight path at a distance of 5m. There's also a drone in the drone's flight path at a distance of 3m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = informative | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=object_name,description=Name of the object, values = tree 1{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""informative""], ""slot"": ""risk_of_physical_damage"", ""values"": [""informative""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""tree 1""], ""slot"": ""object_name"", ""values"": [""tree 1""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}", Risk of physical damage! There's a tree only 1m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_distance,description=Distance of object, values = 2 | inform,name=pilot_experienced,description=Pilot is experienced or not, values = 0.0 | inform,name=object_distance,description=Distance of object, values = 2 | inform,name=object_name,description=Name of the object, values = tree 1{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""2""], ""slot"": ""object_distance"", ""values"": [""2""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.0""], ""slot"": ""pilot_experienced"", ""values"": [""0.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""2""], ""slot"": ""object_distance"", ""values"": [""2""]}, {""act"": ""INFORM"", ""canonical_values"": [""tree 1""], ""slot"": ""object_name"", ""values"": [""tree 1""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}", Risk of physical damage! There's a tree only 2m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=altitude,description=Flying altitude, values = 1.0 | inform,name=battery_level,description=Battery level, values = 10.0 | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = 0.0 | inform,name=object_distance,description=Distance of object, values = 2{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""altitude"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""10.0""], ""slot"": ""battery_level"", ""values"": [""10.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.0""], ""slot"": ""normal_frame"", ""values"": [""0.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""2""], ""slot"": ""object_distance"", ""values"": [""2""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has a damaged frame and an empty battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree only 2m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=lost_connection,description=Lost connection or not,examples =1.0,0.0, values = 1.0 | inform,name=distance_from_remote_control,description=Distance from remote control, values = 4050.0 | inform,name=battery_level,description=Battery level, values = 20.0 | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = advisory | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 6 | inform,name=object_name,description=Name of the object, values = tree 1{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""lost_connection"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""4050.0""], ""slot"": ""distance_from_remote_control"", ""values"": [""4050.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""20.0""], ""slot"": ""battery_level"", ""values"": [""20.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""advisory""], ""slot"": ""risk_of_physical_damage"", ""values"": [""advisory""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""6""], ""slot"": ""object_distance"", ""values"": [""6""]}, {""act"": ""INFORM"", ""canonical_values"": [""tree 1""], ""slot"": ""object_name"", ""values"": [""tree 1""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}", Risk of physical damage! There's a tree in the drone's flight path at a distance of 6m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 5 | inform,name=altitude,description=Flying altitude, values = 5.0 | inform,name=battery_level,description=Battery level, values = 10.0 | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = 0.0 | inform,name=temperature,description=Flying temperature, values = 7.0 | inform,name=battery_level,description=Battery level, values = 10.0 | inform,name=object_name,description=Name of the object, values = fallen tree{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""5""], ""slot"": ""object_distance"", ""values"": [""5""]}, {""act"": ""INFORM"", ""canonical_values"": [""5.0""], ""slot"": ""altitude"", ""values"": [""5.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""10.0""], ""slot"": ""battery_level"", ""values"": [""10.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.0""], ""slot"": ""normal_frame"", ""values"": [""0.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""7.0""], ""slot"": ""temperature"", ""values"": [""7.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""10.0""], ""slot"": ""battery_level"", ""values"": [""10.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""fallen tree""], ""slot"": ""object_name"", ""values"": [""fallen tree""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has a damaged frame and empty battery. It's flying at an altitude of 5m in a low-temperature setting.     Risk of physical damage! There's a fallen tree in the drone's flight path at a distance of 5m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 3 | inform,name=indoor,description=Indoor or not,examples =1.0,0.0, values = 1.0 | inform,name=object_name,description=Name of the object, values = wall 1{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""3""], ""slot"": ""object_distance"", ""values"": [""3""]}, {""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""indoor"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""wall 1""], ""slot"": ""object_name"", ""values"": [""wall 1""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone is flying indoors in a dark setting.     There's a wall in the drone's flight path at a distance of 3m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = informative | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 5 | inform,name=object_name,description=Name of the object, values = tree 1{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""informative""], ""slot"": ""risk_of_physical_damage"", ""values"": [""informative""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""5""], ""slot"": ""object_distance"", ""values"": [""5""]}, {""act"": ""INFORM"", ""canonical_values"": [""tree 1""], ""slot"": ""object_name"", ""values"": [""tree 1""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = informative | inform,name=altitude,description=Flying altitude, values = 1.0 | inform,name=battery_level,description=Battery level, values = 20.0 | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 3 | inform,name=object_name,description=Name of the object, values = tree 4{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""informative""], ""slot"": ""risk_of_physical_damage"", ""values"": [""informative""]}, {""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""altitude"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""20.0""], ""slot"": ""battery_level"", ""values"": [""20.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""3""], ""slot"": ""object_distance"", ""values"": [""3""]}, {""act"": ""INFORM"", ""canonical_values"": [""tree 4""], ""slot"": ""object_name"", ""values"": [""tree 4""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = 0.0 | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 5{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.0""], ""slot"": ""normal_frame"", ""values"": [""0.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""5""], ""slot"": ""object_distance"", ""values"": [""5""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}", Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_internal_damage,description=risk of internal damage or not,examples =1.0,0.0, values = 1.0 | inform,name=weather,description=Weather,examples =Sunny,Rainy,Gloomy,Snowy,Foggy,Dark,Unindentified,Lightning, values = gloomy | inform,name=waterproof_drone,description=Waterproof drone or not, values = False | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_distance,description=Distance of object, values = 0.5 | inform,name=pilot_experienced,description=Pilot is experienced or not, values = False | inform,name=object_distance,description=Distance of object, values = 0.5 | inform,name=object_distance,description=Distance of object, values = 0.5 | inform,object_moving, values = true | inform,name=object_distance,description=Distance of object, values = 0.5 | inform,name=low_visibility,description=Low visibility or not,examples =1.0,0.0, values = 1.0 | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 0.5 | inform,name=going_backwards,description=Going backwards or not,examples =1.0,0.0, values = True | inform,name=indoor,description=Indoor or not,examples =1.0,0.0, values = True | inform,name=altitude,description=Flying altitude, values = 1.0 | inform,name=battery_level,description=Battery level, values = 30.0 | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = False | inform,name=object_name,description=Name of the object, values = toy car | inform,name=object_name,description=Name of the object, values = tyre package on shelf{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""risk_of_internal_damage"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""gloomy""], ""slot"": ""weather"", ""values"": [""gloomy""]}, {""act"": ""INFORM"", ""canonical_values"": [""False""], ""slot"": ""waterproof_drone"", ""values"": [""False""]}, {""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.5""], ""slot"": ""object_distance"", ""values"": [""0.5""]}, {""act"": ""INFORM"", ""canonical_values"": [""False""], ""slot"": ""pilot_experienced"", ""values"": [""False""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.5""], ""slot"": ""object_distance"", ""values"": [""0.5""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.5""], ""slot"": ""object_distance"", ""values"": [""0.5""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_moving"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.5""], ""slot"": ""object_distance"", ""values"": [""0.5""]}, {""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""low_visibility"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.5""], ""slot"": ""object_distance"", ""values"": [""0.5""]}, {""act"": ""INFORM"", ""canonical_values"": [""True""], ""slot"": ""going_backwards"", ""values"": [""True""]}, {""act"": ""INFORM"", ""canonical_values"": [""True""], ""slot"": ""indoor"", ""values"": [""True""]}, {""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""altitude"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""30.0""], ""slot"": ""battery_level"", ""values"": [""30.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""False""], ""slot"": ""normal_frame"", ""values"": [""False""]}, {""act"": ""INFORM"", ""canonical_values"": [""toy car""], ""slot"": ""object_name"", ""values"": [""toy car""]}, {""act"": ""INFORM"", ""canonical_values"": [""tyre package on shelf""], ""slot"": ""object_name"", ""values"": [""tyre package on shelf""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical and internal damage! The drone has a damaged frame and low battery. It's flying indoors and backwards. It's flying at an altitude of 1m in a low-visibility setting. The weather is overcast and the drone is not waterproof.     Risk of physical damage! There's a moving toy car in the drone's flight path at a distance of .5m. There's also a package on the shelf only .5m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=pilot_experienced,description=Pilot is experienced or not, values = 0.0 | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = 0.0 | inform,name=object_name,description=Name of the object, values = sandy beach{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.0""], ""slot"": ""pilot_experienced"", ""values"": [""0.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.0""], ""slot"": ""normal_frame"", ""values"": [""0.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""sandy beach""], ""slot"": ""object_name"", ""values"": [""sandy beach""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a sandy beach only 1m away. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=lost_connection,description=Lost connection or not,examples =1.0,0.0, values = 1.0 | inform,name=distance_from_remote_control,description=Distance from remote control, values = 4195.0 | inform,name=battery_level,description=Battery level, values = 30.0 | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 5 | inform,name=altitude,description=Flying altitude, values = 5.0 | inform,name=battery_level,description=Battery level, values = 30.0 | inform,name=temperature,description=Flying temperature, values = 5.0 | inform,name=battery_level,description=Battery level, values = 30.0 | inform,name=object_name,description=Name of the object, values = industrial water tank {""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""lost_connection"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""4195.0""], ""slot"": ""distance_from_remote_control"", ""values"": [""4195.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""30.0""], ""slot"": ""battery_level"", ""values"": [""30.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""5""], ""slot"": ""object_distance"", ""values"": [""5""]}, {""act"": ""INFORM"", ""canonical_values"": [""5.0""], ""slot"": ""altitude"", ""values"": [""5.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""30.0""], ""slot"": ""battery_level"", ""values"": [""30.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""5.0""], ""slot"": ""temperature"", ""values"": [""5.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""30.0""], ""slot"": ""battery_level"", ""values"": [""30.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""industrial water tank ""], ""slot"": ""object_name"", ""values"": [""industrial water tank ""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage and lost connection! The drone has low battery. It's flying at an altitude of 5m in a low-temperature setting. The drone is 4195m away from the remote control.     Risk of physical damage! There's an industrial water tank in the drone's flight path at a distance of 5m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=altitude,description=Flying altitude, values = 7.0 | inform,name=battery_level,description=Battery level, values = 0.0 | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=object_inpath,description=Object is in path or not,examples =true,false, values = true | inform,name=object_distance,description=Distance of object, values = 1 | inform,name=object_name,description=Name of the object, values = sailboat{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""7.0""], ""slot"": ""altitude"", ""values"": [""7.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""0.0""], ""slot"": ""battery_level"", ""values"": [""0.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""true""], ""slot"": ""object_inpath"", ""values"": [""true""]}, {""act"": ""INFORM"", ""canonical_values"": [""1""], ""slot"": ""object_distance"", ""values"": [""1""]}, {""act"": ""INFORM"", ""canonical_values"": [""sailboat""], ""slot"": ""object_name"", ""values"": [""sailboat""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 7m.     Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 1m. 
"SYSTEM | service_name=Drone_1,description={schema['description']} | inform,name=risk_of_physical_damage,description=risk of physical damage or not, values = warning | inform,name=altitude,description=Flying altitude, values = 1.0 | inform,name=battery_level,description=Battery level, values = 30.0 | inform,name=normal_frame,description=Normal frame or not,examples =1.0,0.0, values = False | inform,name=wind_speed,description=Wind speed, values = 18.0 | inform,name=battery_level,description=Battery level, values = 30.0{""frames"": [{""actions"": [{""act"": ""INFORM"", ""canonical_values"": [""warning""], ""slot"": ""risk_of_physical_damage"", ""values"": [""warning""]}, {""act"": ""INFORM"", ""canonical_values"": [""1.0""], ""slot"": ""altitude"", ""values"": [""1.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""30.0""], ""slot"": ""battery_level"", ""values"": [""30.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""False""], ""slot"": ""normal_frame"", ""values"": [""False""]}, {""act"": ""INFORM"", ""canonical_values"": [""18.0""], ""slot"": ""wind_speed"", ""values"": [""18.0""]}, {""act"": ""INFORM"", ""canonical_values"": [""30.0""], ""slot"": ""battery_level"", ""values"": [""30.0""]}], ""service"": ""Drone_1"", ""slots"": []}], ""speaker"": ""SYSTEM""}",Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m in strong wind. 
